Update Overview - Last Update: 20.07.2017,kRO Sakray,kRO Main,iRO,thRO
Episode 0.0 - Beta (9 Month),----,01.11.2001,X,?
Episode 1.0 - Release,???,03.08.2002,?,?
Episode 2.0 - Lutie,???,17.12.2002,?,?
Episode 3.0 - Comodo,???,04.02.2003,?,?
Episode 4.0 - War of Emperium & Turtle Island,???,02.05.2003,?,?
"Episode 5.0 - Forgotten Legacy of Ancient Era, Yuno",???,15.07.2003,?,?
Episode 6.0 - Beyond Midgard,???,07.10.2003,?,?
Global Project - Amatsu (Japan),???,07.10.2003,?,?
Global Project - Kunlun (China: Mythical),???,07.10.2003,?,?
Global Project - Castle of Dragon: Louyang (China),???,07.10.2003,?,?
Global Project - Ayothaya (Thailand),???,26.10.2004,?,?
"Episode 7.0 - Village of Utan Tribe, Umbala",???,27.01.2004,?,?
"Episode 8.0 - City of the Dead, Nifflheim",???,23.02.2004,?,?
Episode 9.0 - Rebirth,???,19.04.2004,?,?
Honeymoon Jawaii,21.06.2004,29.06.2004,?,?
Divorce NPC in Niflheim,???,29.06.2004,?,?
"Episode 10.1 - City of Steel, Einbroch",???,25.03.2005,?,?
"Episode 10.2 - City of Prosperity, Lighthalzen",???,28.06.2005,?,?
Homunculus System,09.06.2005,28.06.2005,?,?
Episode 10.3 - Noghalt,???,27.09.2005,?,?
Classes - TaeKwon Kid,17.08.2005,27.09.2005,?,?
Classes - TaeKwon Master,17.08.2005,27.09.2005,?,?
Classes - Soul Linker,17.08.2005,27.09.2005,?,?
"Episode 10.4 - The Haven of Forgotten, Hugel",???,17.01.2006,?,?
Mailsystem,???,17.01.2006,?,?
Classes - Ninja,???,28.03.2006,?,?
Classes - Gunslinger,???,28.03.2006,?,?
"Episode 11.1 - Sacred Precinct of Goddess, Rachel",???,11.06.2006,?,?
"Episode 11.2 - A Hidden Gorge of Volcano Thor, Veins",???,27.12.2006,?,?
"Episode 11.3 - Endless Nightmare, Nameless Island",???,10.04.2007,?,?
"Episode 12.0 - Nightmare of Midgard, Satan Morroc",19.09.2007,17.10.2007,?,?
WoE SE - Schwaltzvald,19.09.2007,21.11.2007,?,?
Global Project - Moscovia (Russia),10.10.2007,17.10.2007,?,?
WoE SE - Arunafeltz,24.10.2007,21.11.2007,?,?
Battleground (Flavius & Tierra),07.11.2007,05.12.2007,?,?
World Map System,14.11.2007,05.12.2007,?,?
Memorial Dungeon - Endless Tower,28.11.2007,12.12.2007,?,?
Memorial Dungeon - Sealed Shrine,28.11.2007,12.12.2007,?,?
Episode 13.1 - Ash Vacuum,28.05.2008,25.06.2008,?,?
Poring Wars,18.06.2008,25.08.2008,?,?
Renewal Beta - Sakray R,30.07.2008,----,?,?
Improved Pet System,12.11.2008,19.11.2008,?,?
Episode 13.2 - Encounter with the Unknown,26.11.2008,17.12.2008,?,?
New Pets,23.12.2008,23.12.2008,some,?
Hidden Slot Enchant,25.02.2009,25.02.2009,?,?
Endless Tower Entrance Fix,11.03.2009,11.03.2009,?,?
New Hairstyles (F&M - 26127),08.04.2009,08.04.2009,?,?
New Interface (Renewal),01.06.2009,----,?,?
Renewal Release - Main Server,----,17.06.2009,?,?
